item,value,timestamp,date
上涨,2871.0,2025-10-25 09:41:15,2025-10-25
涨停,72.0,2025-10-25 09:41:15,2025-10-25
真实涨停,62.0,2025-10-25 09:41:15,2025-10-25
st st*涨停,15.0,2025-10-25 09:41:15,2025-10-25
下跌,2163.0,2025-10-25 09:41:15,2025-10-25
跌停,11.0,2025-10-25 09:41:15,2025-10-25
真实跌停,9.0,2025-10-25 09:41:15,2025-10-25
st st*跌停,3.0,2025-10-25 09:41:15,2025-10-25
平盘,120.0,2025-10-25 09:41:15,2025-10-25
停牌,7.0,2025-10-25 09:41:15,2025-10-25
活跃度,55.63%,2025-10-25 09:41:15,2025-10-25
统计日期,2025-10-24 15:00:00,2025-10-25 09:41:15,2025-10-25
